Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5C,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity),Adult postmaturation lifespan (yrs)
McBride Lake,01380MORR,Skeena,-127.3508695,54.06606819,797,786.8734382,933,11,26.8,0.086556078,42,3.818181818,FR,#N/A,#N/A,2,1,538.7,8.7,53.3,0.249,132.9,0.245,36,20,23.7
Melgard Lake,01178TESR,Skeena,-131.298874,59.19098269,1212,118.159384,517,7,21.5,0.008271157,24,3.428571429,NR,#N/A,#N/A,2,1,532.6,23.0,15.2,0.066,183.8,0.057,136,141,14.2
Moberly Lake,01136UPCE,Peace,-121.8230274,55.81623171,697,2850.889752,1145,18,42.7,0.513160155,148,8.222222222,PR,#N/A,#N/A,5,1,627.5,6.9,49.5,0.167,292.8,0.154,722,194,19.1
Nakinilerak Lake,00756TAKL,Omineca,-126.2840174,55.27829546,875,718.2380658,859,11,29,0.079006187,56,5.090909091,FR,#N/A,#N/A,2,0,601.0,17.7,27.1,0.105,124.2,0.093,93,95,32.1
Narrow Lake,00744WILL,Omineca,-121.9333004,53.55721745,958,351.9665672,993,26,59,0.091511307,26,1,FR,#N/A,#N/A,3,1,499.6,8.1,47.9,0.162,115.8,0.148,56,56,38.0
Natowite Lake,00998TAKL,Omineca,-125.9460681,55.07725391,778,1366.059023,977,17.6,NA,0.240426388,14,0.795454545,FR,#N/A,#N/A,2,1,624.1,16.1,31.5,0.148,119.7,0.134,69,68,39.2
Netson Lake,01149COAL,Peace,-126.716174,58.70287794,983,303.3171231,731,8,36.5,0.02426537,256,32,NR,#N/A,#N/A,2,1,337.1,5.3,41.6,0.121,118.1,0.109,91,52,16.4
Nome Lake,00939SWIR,Skeena,-130.9034164,59.64553801,1194,1012.212396,456,20,73.6,0.202442479,68,3.4,NR,#N/A,#N/A,1,1,363.3,10.4,32.5,0.172,27.9,0.158,31,32,39.9
Obo Lake,00011TOOD,Omineca,-126.7020425,57.97676448,1214,199.0871782,563,13,32.8,0.025881333,26,2,NR,#N/A,#N/A,2,0,388.3,8.9,27.3,0.126,152.4,0.114,37,38,37.4
Pinchi Lake,00509STUL,Omineca,-124.3263553,54.58296108,719,5585.827463,1055,24,67.5,1.340598591,116,4.833333333,FR,#N/A,#N/A,2,3,539.4,10.9,37.4,0.127,132.6,0.114,176,137,38.0
Pinkut Lake,02257BABL,Skeena,-125.6515672,54.37751494,918,585.8936733,894,10,31.7,0.058589367,64,6.4,FR,#N/A,#N/A,4,2,751.5,16.4,36.4,0.097,156.8,0.086,26,49,32.4
Purvis Lake,01099NATR,Omineca,-125.401829,55.19177823,882,294.3142939,909,20,36,0.058862859,56,2.8,NR,#N/A,#N/A,2,2,494.6,7.8,56.9,0.185,62.3,0.171,43,41,45.6
Quiet,YT_Quiet,Yukon,-133.075001,61.0798,787,3780,723,32.9,170,1.244,44.5,1.352583587,FR,1204,0.318518519,3,1,406.3,8.1,36.2,0.146,117.6,0.132,157,146,34.5
Ruth Lake,00589NAKR,Skeena,-132.9140154,59.24972813,945,80.92581798,564,7,19,0.005664807,43,6.142857143,NR,#N/A,#N/A,2,0,348.8,7.1,50.8,0.290,-8.5,0.286,29,29,17.5
Sekulmun,YT_Sekulmun,Yukon,-137.565456,61.444,921,4932,576,27.7,53,1.36,43,1.55234657,FR,#N/A,#N/A,2,2,417.0,7.1,66.6,0.259,-52.7,0.249,57,43,33.8
Shuswap Lake,00672SHUL,Thompson,-119.0937365,50.8013475,357,30511.90286,1919,62,161.5,18.91737977,46,0.741935484,PR,#N/A,#N/A,5,3,463.8,4.4,69.5,0.262,159.9,0.253,311,43,36.6
Simpson Lake,01315ATLL,Skeena,-133.575608,59.23313547,876,202.3311022,582,16,44,0.032372976,96,6,NR,#N/A,#N/A,1,0,350.7,8.2,34.3,0.222,78.2,0.212,27,27,25.7
Stony Lake,01017WILL,Omineca,-121.8556032,53.4149556,930,876.5372988,1033,10,22,0.08765373,32,3.2,FR,#N/A,#N/A,3,2,562.0,12.4,33.9,0.121,157.5,0.109,29,35,45.0
Sulphurous Lake,00252BRID,Cariboo,-120.8482401,51.62984727,1113,379.6191482,1034,15,46.9,0.056942872,386,25.73333333,PR,#N/A,#N/A,4,1,380.2,4.4,55.2,0.276,134.4,0.272,32,20,34.0
Summit Lake Pce.,00019MMUS,Peace,-124.6737084,58.64449,1281,28.84501406,559,3,5.5,0.00086535,160,53.33333333,PR,#N/A,#N/A,3,0,401.1,10.1,29.3,0.181,108.1,0.167,89,94,27.7
Tacheeda South Lake,00582PARS,Omineca,-122.546877,54.69932416,734,362.3511086,1087,10.23,48,0.037068518,52,5.083088954,FR,#N/A,#N/A,3,3,535.7,8.8,66.8,0.246,-46.1,0.235,32,16,35.0
Tagetochlain Lake,00797FRAN,Skeena,-126.9889726,54.00061831,827,1078.987936,882,22,60.95,0.237377346,80,3.636363636,FR,#N/A,#N/A,2,1,685.1,14.8,41.4,0.135,71.5,0.122,98,99,12.0
Tagish,00002TUTR,SkeenaYT,-134.294839,59.8485,655,35460,795,62,307,21.8,62,1,PR,6888,0.194247039,4,1,434.9,4.4,71.4,0.335,123.4,0.335,721,903,36.6
